filename, language, PHP, Markdown, XML, HTML, Django txt, CSS, JSON, JavaScript, comment, blank, total
/home/theodore/dev/chronique-metal/src/js/all.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 104, 0, 3, 107
/home/theodore/dev/chronique-metal/src/js/chronique-metal.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 81, 1, 0, 82
/home/theodore/dev/chronique-metal/src/js/live_radio.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 5, 2, 2, 9
/home/theodore/dev/chronique-metal/src/js/load_ajax.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 28, 3, 0, 31
/home/theodore/dev/chronique-metal/src/js/photos.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 157, 1, 1, 159
/home/theodore/dev/chronique-metal/src/js/read.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 84, 1, 3, 88
/home/theodore/dev/chronique-metal/src/js/search_ajax.php, PHP, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
/home/theodore/dev/chronique-metal/src/js/texts.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 49, 0, 1, 50
/home/theodore/dev/chronique-metal/src/js/videos.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 51, 0, 2, 53
/home/theodore/dev/chronique-metal/src/libs/composer.json, JSON, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
/home/theodore/dev/chronique-metal/src/libs/social-icons.css, CSS, 0, 0, 0, 0, 0, 292, 0, 0, 2, 9, 303
/home/theodore/dev/chronique-metal/src/sitemap.xml, XML, 0, 0, 117, 0, 0, 0, 0, 0, 1, 4, 122
/home/theodore/dev/chronique-metal/temp/include.html, HTML, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 23
/home/theodore/dev/chronique-metal/temp/scap.php, PHP, 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
/home/theodore/dev/chronique-metal/temp/vendor/autoload.php, PHP, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4, 8
/home/theodore/dev/chronique-metal/temp/vendor/composer/ClassLoader.php, PHP, 253, 0, 0, 0, 0, 0, 0, 0, 148, 45, 446
/home/theodore/dev/chronique-metal/temp/vendor/composer/autoload_classmap.php, PHP, 5, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10
/home/theodore/dev/chronique-metal/temp/vendor/composer/autoload_namespaces.php, PHP, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
Total, -, 3363, 2, 117, 73, 7594, 3232, 2, 745, 268, 256, 15652
